# N012. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1034

m/z	z	I
779.36932	2+	12991657
780.38218	1+	17672760
781.33359	1+	221283472
784.36934	1+	3371176
785.31584	1+	11169960
785.38045	2+	3693682
786.88252	2+	17466810
787.38436	1+	9886528
788.36694	1+	11908038
789.36265	1+	41936404
789.39929	1+	39542044
791.37783	1+	201172176
793.34689	1+	41049128
793.39387	2+	43045916
794.89458	2+	37772904
795.36143	1+	27674496
795.39746	1+	34670612
798.39298	2+	4880926
799.09063	3+	5127983
799.33424	1+	14782649
799.89412	2+	6408868
801.346	1+	13411934
801.36299	1+	15534880
802.39334	2+	24653928
802.94113	16+	6539016
803.39505	2+	52748604
804.38666	1+	123549880
805.39086	2+	24764670
806.38375	2+	6916679
807.36038	2+	79505912
807.3624	1+	39952020
809.37786	1+	67862792
811.35552	1+	17758002
811.39301	1+	22100122
814.38379	2+	3700830
815.3256	1+	11890800
815.37849	1+	23135912
816.89331	2+	57077068
817.39481	1+	21051544
818.37429	1+	20480126
819.40898	1+	116022120
820.88055	2+	17121170
821.38795	1+	28768848
821.39008	2+	63086536
821.39845	1+	17825466
823.35729	1+	47008108
823.39261	1+	11337651
825.37221	1+	67385872
825.42222	1+	115652440
829.34456	1+	52951384
831.37374	1+	143348992
833.38822	1+	276239168
836.88738	2+	8733226
837.37292	1+	166020048
839.38772	1+	736165184
841.36506	1+	16413566
843.35931	1+	161076576
844.39462	2+	11221728
845.34291	2+	8170660
846.42621	1+	12133998
847.34433	1+	168285824
847.40368	1+	227228240
848.38706	1+	20047354
849.38218	1+	36353140
850.4266	1+	12784038
851.35186	1+	11255425
853.36775	1+	24352702
855.38203	1+	60691632
856.41074	2+	4659268
857.39781	2+	11152161
858.38476	2+	24236610
859.35534	1+	22758016
860.44472	1+	8914113
861.36951	1+	538748544
863.39869	1+	579767360
863.41289	2+	22527374
865.41467	2+	9266640
867.38418	1+	8669657
869.3639	1+	23772846
870.42998	2+	9105183
872.40031	2+	12216196
872.42944	2+	5677008
873.43485	2+	12620131
874.36537	1+	9581867
875.40044	1+	8813471
876.44251	1+	12175533
877.36272	1+	10475762
