1175.5298	1+	21656064
1185.5531	1+	16164057
1187.56686	1+	56728828
1189.54642	1+	18289886
1199.56748	1+	14463216
1201.58369	1+	82824392
1215.56166	1+	30037478
1217.57865	1+	312527200
1219.59344	1+	362969568
1229.07081	2+	16974708
1231.59444	1+	687057408
1233.60891	1+	845158784
1247.58764	1+	798263296
1261.60402	1+	1295168896
1277.599	1+	261829216
1293.62964	1+	65994141696
